"","date","province","confirmed_cases","active_cases"
"1",2020-04-17,"EASTERN CAPE",246,233
"2",2020-04-17,"FREE STATE",100,25
"3",2020-04-17,"GAUTENG",1018,533
"4",2020-04-17,"KWAZULU NATAL",591,475
"5",2020-04-17,"LIMPOPO",26,7
"6",2020-04-17,"MPUMALANGA",23,14
"7",2020-04-17,"NORTHERN CAPE",16,6
"8",2020-04-17,"NORTH WEST",24,18
"9",2020-04-17,"WESTERN CAPE",717,497
"10",2020-04-18,"EASTERN CAPE",270,257
"11",2020-04-18,"FREE STATE",100,25
"12",2020-04-18,"GAUTENG",1101,616
"13",2020-04-18,"KWAZULU NATAL",604,487
"14",2020-04-18,"LIMPOPO",26,7
"15",2020-04-18,"MPUMALANGA",25,16
"16",2020-04-18,"NORTHERN CAPE",16,6
"17",2020-04-18,"NORTH WEST",24,18
"18",2020-04-18,"WESTERN CAPE",836,615
"19",2020-04-19,"EASTERN CAPE",293,280
"20",2020-04-19,"FREE STATE",100,25
"21",2020-04-19,"GAUTENG",1148,663
"22",2020-04-19,"KWAZULU NATAL",617,499
"23",2020-04-19,"LIMPOPO",27,8
"24",2020-04-19,"MPUMALANGA",23,14
"25",2020-04-19,"NORTHERN CAPE",16,6
"26",2020-04-19,"NORTH WEST",24,18
"27",2020-04-19,"WESTERN CAPE",868,646
"28",2020-04-20,"EASTERN CAPE",310,290
"29",2020-04-20,"FREE STATE",105,26
"30",2020-04-20,"GAUTENG",1170,618
"31",2020-04-20,"KWAZULU NATAL",639,465
"32",2020-04-20,"LIMPOPO",27,5
"33",2020-04-20,"MPUMALANGA",23,9
"34",2020-04-20,"NORTHERN CAPE",18,5
"35",2020-04-20,"NORTH WEST",25,19
"36",2020-04-20,"WESTERN CAPE",940,707
"37",2020-04-21,"EASTERN CAPE",345,325
"38",2020-04-21,"FREE STATE",106,27
"39",2020-04-21,"GAUTENG",1199,647
"40",2020-04-21,"KWAZULU NATAL",671,497
"41",2020-04-21,"LIMPOPO",27,5
"42",2020-04-21,"MPUMALANGA",24,10
"43",2020-04-21,"NORTHERN CAPE",16,3
"44",2020-04-21,"NORTH WEST",24,18
"45",2020-04-21,"WESTERN CAPE",1010,777
"46",2020-04-22,"EASTERN CAPE",377,357
"47",2020-04-22,"FREE STATE",106,27
"48",2020-04-22,"GAUTENG",1224,672
"49",2020-04-22,"KWAZULU NATAL",758,582
"50",2020-04-22,"LIMPOPO",27,5
"51",2020-04-22,"MPUMALANGA",23,9
"52",2020-04-22,"NORTHERN CAPE",16,3
"53",2020-04-22,"NORTH WEST",24,18
"54",2020-04-22,"WESTERN CAPE",1079,841
"55",2020-04-23,"EASTERN CAPE",417,392
"56",2020-04-23,"FREE STATE",106,25
"57",2020-04-23,"GAUTENG",1252,401
