"","date","active_cases"
"1",2020-04-17,1830
"2",2020-04-18,2079
"3",2020-04-19,2201
"4",2020-04-20,2187
"5",2020-04-21,2352
"6",2020-04-22,2515
"7",2020-04-23,2405
"8",2020-04-24,2668
"9",2020-04-25,2802
"10",2020-04-26,2986
"11",2020-04-27,3230
"12",2020-04-28,3430
"13",2020-05-02,3664
"14",2020-05-03,4103
"15",2020-05-04,4336
"16",2020-05-05,4678
"17",2020-05-06,4502
"18",2020-05-07,4918
"19",2020-05-08,5564
"20",2020-05-10,5648
"21",2020-05-13,7110
"22",2020-05-14,6825
"23",2020-05-15,7194
"24",2020-05-16,7616
"25",2020-05-17,8245
"26",2020-05-18,8849
"27",2020-05-19,8928
"28",2020-05-20,8714
"29",2020-05-21,9818
"30",2020-05-22,9624
"31",2020-05-23,10832
"32",2020-05-24,11054
"33",2020-05-25,11217
"34",2020-05-26,10999
"35",2020-05-27,11934
"36",2020-05-28,12456
"37",2020-05-29,13536
"38",2020-05-30,14208
"39",2020-05-31,15191
"40",2020-06-01,16361
"41",2020-06-02,16744
"42",2020-06-03,17051
"43",2020-06-04,18633
"44",2020-06-05,19438
"45",2020-06-06,20763
"46",2020-06-07,22923
"47",2020-06-08,23700
"48",2020-06-09,22823
"49",2020-06-10,22706
"50",2020-06-11,25779
"51",2020-06-12,25565
"52",2020-06-13,27463
"53",2020-06-14,30027
"54",2020-06-15,32098
