"","date","country","infections","day"
"1",2020-03-15,"Brazil",121,1
"2",2020-03-16,"Brazil",200,2
"3",2020-03-17,"Brazil",234,3
"4",2020-03-18,"Brazil",291,4
"5",2020-03-19,"Brazil",428,5
"6",2020-03-20,"Brazil",621,6
"7",2020-03-21,"Brazil",904,7
"8",2020-03-22,"Brazil",1128,8
"9",2020-03-23,"Brazil",1546,9
"10",2020-03-24,"Brazil",1891,10
"11",2020-03-25,"Brazil",2201,11
"12",2020-03-26,"Brazil",2433,12
"13",2020-03-27,"Brazil",2915,13
"14",2020-03-28,"Brazil",3417,14
"15",2020-03-29,"Brazil",3904,15
"16",2020-03-30,"Brazil",4256,16
"17",2020-03-31,"Brazil",4579,17
"18",2020-04-01,"Brazil",5717,18
"19",2020-04-02,"Brazil",6836,19
"20",2020-04-03,"Brazil",7910,20
"21",2020-04-04,"Brazil",9056,21
"22",2020-04-05,"Brazil",10278,22
"23",2020-04-06,"Brazil",11130,23
"24",2020-04-07,"Brazil",12056,24
"25",2020-04-08,"Brazil",13717,25
"26",2020-04-09,"Brazil",15927,26
"27",2020-04-10,"Brazil",17857,27
"28",2020-04-11,"Brazil",19638,28
"29",2020-04-12,"Brazil",20727,29
"30",2020-04-13,"Brazil",22169,30
"31",2020-04-14,"Brazil",23430,31
"32",2020-04-15,"Brazil",25262,32
"33",2020-04-16,"Brazil",28320,33
"34",2020-04-17,"Brazil",30425,34
"35",2020-04-18,"Brazil",33682,35
"36",2020-04-19,"Brazil",36599,36
"37",2020-04-20,"Brazil",38654,37
"38",2020-04-21,"Brazil",40581,38
"39",2020-04-22,"Brazil",43079,39
"40",2020-04-23,"Brazil",45757,40
"41",2020-04-24,"Brazil",49492,41
"42",2020-04-25,"Brazil",52995,42
"43",2020-04-26,"Brazil",58509,43
"44",2020-04-27,"Brazil",61888,44
"45",2020-04-28,"Brazil",66501,45
"46",2020-04-29,"Brazil",71886,46
"47",2020-04-30,"Brazil",78162,47
"48",2020-05-01,"Brazil",85380,48
"49",2020-05-02,"Brazil",91589,49
"50",2020-05-03,"Brazil",96559,50
"51",2020-05-04,"Brazil",101147,51
"52",2020-05-05,"Brazil",107780,52
"53",2020-05-06,"Brazil",114715,53
"54",2020-05-07,"Brazil",125218,54
"55",2020-05-08,"Brazil",135106,55
"56",2020-05-09,"Brazil",145328,56
"57",2020-05-10,"Brazil",155939,57
"58",2020-05-11,"Brazil",162699,58
"59",2020-05-12,"Brazil",168331,59
"60",2020-05-13,"Brazil",177589,60
"61",2020-05-14,"Brazil",188974,61
"62",2020-05-15,"Brazil",202918,62
"63",2020-05-16,"Brazil",218223,63
"64",2020-05-17,"Brazil",233142,64
"65",2020-05-18,"Brazil",241080,65
"66",2020-05-19,"Brazil",254220,66
"67",2020-05-20,"Brazil",271628,67
"68",2020-05-21,"Brazil",291579,68
"69",2020-05-22,"Brazil",310087,69
"70",2020-05-23,"Brazil",330890,70
"71",2020-05-24,"Brazil",347398,71
"72",2020-05-25,"Brazil",363211,72
"73",2020-05-26,"Brazil",374898,73
"74",2020-05-27,"Brazil",391222,74
"75",2020-05-28,"Brazil",411821,75
"76",2020-05-29,"Brazil",438238,76
"77",2020-05-30,"Brazil",465166,77
"78",2020-05-31,"Brazil",498440,78
"79",2020-06-01,"Brazil",514849,79
"80",2020-06-02,"Brazil",526447,80
"81",2020-06-03,"Brazil",555383,81
"82",2020-06-04,"Brazil",584016,82
"83",2020-06-05,"Brazil",614932,83
"84",2020-06-06,"Brazil",645762,84
"85",2020-06-07,"Brazil",672837,85
"86",2020-06-08,"Brazil",691758,86
"87",2020-06-09,"Brazil",707412,87
"88",2020-06-10,"Brazil",739503,88
"89",2020-06-11,"Brazil",772416,89
"90",2020-06-12,"Brazil",802828,90
"91",2020-06-13,"Brazil",828810,91
"92",2020-06-14,"Brazil",850514,92
"93",2020-06-15,"Brazil",867624,93
"94",2020-06-16,"Brazil",888271,94
"95",2020-01-19,"China",216,1
"96",2020-01-20,"China",235,2
"97",2020-01-21,"China",386,3
"98",2020-01-22,"China",526,4
"99",2020-01-23,"China",623,5
"100",2020-01-24,"China",882,6
"101",2020-01-25,"China",1323,7
"102",2020-01-26,"China",1988,8
"103",2020-01-27,"China",2775,9
"104",2020-01-28,"China",4528,10
"105",2020-01-29,"China",5994,11
"106",2020-01-30,"China",7734,12
"107",2020-01-31,"China",9714,13
"108",2020-02-01,"China",11809,14
"109",2020-02-02,"China",14399,15
"110",2020-02-03,"China",17211,16
"111",2020-02-04,"China",20448,17
"112",2020-02-05,"China",24320,18
"113",2020-02-06,"China",28047,19
"114",2020-02-07,"China",31207,20
"115",2020-02-08,"China",34625,21
"116",2020-02-09,"China",37232,22
"117",2020-02-10,"China",40206,23
"118",2020-02-11,"China",42696,24
"119",2020-02-12,"China",44724,25
"120",2020-02-13,"China",59865,26
"121",2020-02-14,"China",64021,27
"122",2020-02-15,"China",66559,28
"123",2020-02-16,"China",68566,29
"124",2020-02-17,"China",70618,30
"125",2020-02-18,"China",72508,31
"126",2020-02-19,"China",74258,32
"127",2020-02-20,"China",74652,33
"128",2020-02-21,"China",75543,34
"129",2020-02-22,"China",76369,35
"130",2020-02-23,"China",77016,36
"131",2020-02-24,"China",77234,37
"132",2020-02-25,"China",77749,38
"133",2020-02-26,"China",78159,39
"134",2020-02-27,"China",78598,40
"135",2020-02-28,"China",78927,41
"136",2020-02-29,"China",79355,42
"137",2020-03-01,"China",79929,43
"138",2020-03-02,"China",80134,44
"139",2020-03-03,"China",80261,45
"140",2020-03-04,"China",80380,46
"141",2020-03-05,"China",80497,47
"142",2020-03-06,"China",80667,48
"143",2020-03-07,"China",80768,49
"144",2020-03-08,"China",80814,50
"145",2020-03-09,"China",80859,51
"146",2020-03-10,"China",80879,52
"147",2020-03-11,"China",80908,53
"148",2020-03-12,"China",80932,54
"149",2020-03-13,"China",80954,55
"150",2020-03-14,"China",80973,56
"151",2020-03-15,"China",80995,57
"152",2020-03-16,"China",81020,58
"153",2020-03-17,"China",81063,59
"154",2020-03-18,"China",81086,60
"155",2020-03-19,"China",81130,61
"156",2020-03-20,"China",81229,62
"157",2020-03-21,"China",81281,63
"158",2020-03-22,"China",81346,64
"159",2020-03-23,"China",81484,65
"160",2020-03-24,"China",81553,66
"161",2020-03-25,"China",81631,67
"162",2020-03-26,"China",81733,68
"163",2020-03-27,"China",81827,69
"164",2020-03-28,"China",81946,70
"165",2020-03-29,"China",82059,71
"166",2020-03-30,"China",82157,72
"167",2020-03-31,"China",82241,73
"168",2020-04-01,"China",82295,74
"169",2020-04-02,"China",82395,75
"170",2020-04-03,"China",82465,76
"171",2020-04-04,"China",82527,77
"172",2020-04-05,"China",82575,78
"173",2020-04-06,"China",82642,79
"174",2020-04-07,"China",82698,80
"175",2020-04-08,"China",82784,81
"176",2020-04-09,"China",82870,82
"177",2020-04-10,"China",82925,83
"178",2020-04-11,"China",83004,84
"179",2020-04-12,"China",83097,85
"180",2020-04-13,"China",83209,86
"181",2020-04-14,"China",83303,87
"182",2020-04-15,"China",83352,88
"183",2020-04-16,"China",83402,89
"184",2020-04-17,"China",83754,90
"185",2020-04-18,"China",83785,91
"186",2020-04-19,"China",83803,92
"187",2020-04-20,"China",83817,93
"188",2020-04-21,"China",83849,94
"189",2020-04-22,"China",83864,95
"190",2020-04-23,"China",83876,96
"191",2020-04-24,"China",83884,97
"192",2020-04-25,"China",83899,98
"193",2020-04-26,"China",83909,99
"194",2020-04-27,"China",83912,100
"195",2020-04-28,"China",83938,101
"196",2020-04-29,"China",83940,102
"197",2020-04-30,"China",83944,103
"198",2020-05-01,"China",83956,104
"199",2020-05-02,"China",83959,105
"200",2020-05-03,"China",83961,106
"201",2020-05-04,"China",83964,107
"202",2020-05-05,"China",83966,108
"203",2020-05-06,"China",83968,109
"204",2020-05-07,"China",83970,110
"205",2020-05-08,"China",83976,111
"206",2020-05-09,"China",83976,112
"207",2020-05-10,"China",83991,113
"208",2020-05-11,"China",84010,114
"209",2020-05-12,"China",84011,115
"210",2020-05-13,"China",84018,116
"211",2020-05-14,"China",84024,117
"212",2020-05-15,"China",84029,118
"213",2020-05-16,"China",84038,119
"214",2020-05-17,"China",84044,120
"215",2020-05-18,"China",84054,121
"216",2020-05-19,"China",84063,122
"217",2020-05-20,"China",84065,123
"218",2020-05-21,"China",84067,124
"219",2020-05-22,"China",84079,125
"220",2020-05-23,"China",84081,126
"221",2020-05-24,"China",84084,127
"222",2020-05-25,"China",84095,128
"223",2020-05-26,"China",84102,129
"224",2020-05-27,"China",84103,130
"225",2020-05-28,"China",84106,131
"226",2020-05-29,"China",84106,132
"227",2020-05-30,"China",84123,133
"228",2020-05-31,"China",84128,134
"229",2020-06-01,"China",84147,135
"230",2020-06-02,"China",84154,136
"231",2020-06-03,"China",84159,137
"232",2020-06-04,"China",84160,138
"233",2020-06-05,"China",84171,139
"234",2020-06-06,"China",84177,140
"235",2020-06-07,"China",84186,141
"236",2020-06-08,"China",84191,142
"237",2020-06-09,"China",84194,143
"238",2020-06-10,"China",84198,144
"239",2020-06-11,"China",84209,145
"240",2020-06-12,"China",84216,146
"241",2020-06-13,"China",84228,147
"242",2020-06-14,"China",84288,148
"243",2020-06-15,"China",84335,149
"244",2020-06-16,"China",84378,150
"245",2020-03-17,"India",125,1
"246",2020-03-18,"India",137,2
"247",2020-03-19,"India",165,3
"248",2020-03-20,"India",191,4
"249",2020-03-21,"India",231,5
"250",2020-03-22,"India",320,6
"251",2020-03-23,"India",439,7
"252",2020-03-24,"India",492,8
"253",2020-03-25,"India",562,9
"254",2020-03-26,"India",649,10
"255",2020-03-27,"India",724,11
"256",2020-03-28,"India",873,12
"257",2020-03-29,"India",979,13
"258",2020-03-30,"India",1071,14
"259",2020-03-31,"India",1251,15
"260",2020-04-01,"India",1397,16
"261",2020-04-02,"India",1965,17
"262",2020-04-03,"India",2301,18
"263",2020-04-04,"India",2902,19
"264",2020-04-05,"India",3374,20
"265",2020-04-06,"India",4067,21
"266",2020-04-07,"India",4421,22
"267",2020-04-08,"India",5194,23
"268",2020-04-09,"India",5734,24
"269",2020-04-10,"India",6412,25
"270",2020-04-11,"India",7447,26
"271",2020-04-12,"India",8356,27
"272",2020-04-13,"India",9152,28
"273",2020-04-14,"India",10363,29
"274",2020-04-15,"India",11438,30
"275",2020-04-16,"India",12380,31
"276",2020-04-17,"India",13387,32
"277",2020-04-18,"India",14378,33
"278",2020-04-19,"India",15712,34
"279",2020-04-20,"India",17265,35
"280",2020-04-21,"India",18600,36
"281",2020-04-22,"India",19984,37
"282",2020-04-23,"India",21393,38
"283",2020-04-24,"India",23077,39
"284",2020-04-25,"India",24506,40
"285",2020-04-26,"India",26496,41
"286",2020-04-27,"India",27892,42
"287",2020-04-28,"India",29435,43
"288",2020-04-29,"India",31332,44
"289",2020-04-30,"India",33050,45
"290",2020-05-01,"India",35043,46
"291",2020-05-02,"India",37336,47
"292",2020-05-03,"India",39980,48
"293",2020-05-04,"India",42533,49
"294",2020-05-05,"India",46433,50
"295",2020-05-06,"India",49391,51
"296",2020-05-07,"India",52952,52
"297",2020-05-08,"India",56342,53
"298",2020-05-09,"India",59662,54
"299",2020-05-10,"India",62939,55
"300",2020-05-11,"India",67152,56
"301",2020-05-12,"India",70756,57
"302",2020-05-13,"India",74281,58
"303",2020-05-14,"India",78003,59
"304",2020-05-15,"India",81970,60
"305",2020-05-16,"India",85940,61
"306",2020-05-17,"India",90927,62
"307",2020-05-18,"India",96169,63
"308",2020-05-19,"India",101139,64
"309",2020-05-20,"India",106750,65
"310",2020-05-21,"India",112359,66
"311",2020-05-22,"India",118447,67
"312",2020-05-23,"India",125101,68
"313",2020-05-24,"India",131868,69
"314",2020-05-25,"India",138845,70
"315",2020-05-26,"India",145380,71
"316",2020-05-27,"India",151767,72
"317",2020-05-28,"India",158333,73
"318",2020-05-29,"India",165799,74
"319",2020-05-30,"India",173763,75
"320",2020-05-31,"India",182143,76
"321",2020-06-01,"India",190535,77
"322",2020-06-02,"India",198706,78
"323",2020-06-03,"India",207615,79
"324",2020-06-04,"India",216919,80
"325",2020-06-05,"India",226770,81
"326",2020-06-06,"India",236657,82
"327",2020-06-07,"India",246628,83
"328",2020-06-08,"India",256611,84
"329",2020-06-09,"India",266598,85
"330",2020-06-10,"India",276583,86
"331",2020-06-11,"India",286579,87
"332",2020-06-12,"India",297535,88
"333",2020-06-13,"India",308993,89
"334",2020-06-14,"India",320922,90
"335",2020-06-15,"India",332424,91
"336",2020-06-16,"India",343091,92
"337",2020-02-24,"Italy",132,1
"338",2020-02-25,"Italy",229,2
"339",2020-02-26,"Italy",322,3
"340",2020-02-27,"Italy",400,4
"341",2020-02-28,"Italy",650,5
"342",2020-02-29,"Italy",888,6
"343",2020-03-01,"Italy",1128,7
"344",2020-03-02,"Italy",1689,8
"345",2020-03-03,"Italy",2036,9
"346",2020-03-04,"Italy",2502,10
"347",2020-03-05,"Italy",3089,11
"348",2020-03-06,"Italy",3858,12
"349",2020-03-07,"Italy",4636,13
"350",2020-03-08,"Italy",5883,14
"351",2020-03-09,"Italy",7375,15
"352",2020-03-10,"Italy",9172,16
"353",2020-03-11,"Italy",10149,17
"354",2020-03-12,"Italy",12462,18
"355",2020-03-13,"Italy",15113,19
"356",2020-03-14,"Italy",17660,20
"357",2020-03-15,"Italy",21157,21
"358",2020-03-16,"Italy",23980,22
"359",2020-03-17,"Italy",27980,23
"360",2020-03-18,"Italy",31506,24
"361",2020-03-19,"Italy",35713,25
"362",2020-03-20,"Italy",41035,26
"363",2020-03-21,"Italy",47021,27
"364",2020-03-22,"Italy",53578,28
"365",2020-03-23,"Italy",59138,29
"366",2020-03-24,"Italy",63927,30
"367",2020-03-25,"Italy",69176,31
"368",2020-03-26,"Italy",74386,32
"369",2020-03-27,"Italy",80539,33
"370",2020-03-28,"Italy",86498,34
"371",2020-03-29,"Italy",92472,35
